func_name;id;size;handlers
__call__;642;1;1
__call__;643;0;1
equals;644;1;1
_evaluate_compare;645;2;1
__contains__;646;2;1
inferred_freq;647;1;1
map;648;2;1
_convert_tolerance;649;1;1
min;650;2;1
max;651;2;1
isin;652;1;1
_ensure_datetimelike_to_i8;653;1;1
__new__;654;2;1
_generate;655;1;1
_add_offset;656;2;1
union;657;1;1
union_many;658;1;1
join;659;1;1
_can_fast_union;660;1;1
intersection;661;1;1
get_value;662;1;1
get_value;663;2;1
get_value;664;1;1
get_loc;665;1;1
get_loc;666;1;1
get_loc;667;2;1
slice_indexer;668;1;1
insert;669;2;1
_from_arraylike;670;2;1
__contains__;671;1;1
get_value;672;1;1
get_value;673;4;1
get_loc;674;1;1
get_loc;675;2;1
get_loc;676;1;1
get_loc;677;2;1
_maybe_cast_slice_bound;678;3;1
register;679;1;1
merge_class;680;1;1
merge_class;681;1;1
is_datetimelike;682;1;1
_validate_timedelta_unit;683;1;1
_coerce_scalar_to_timedelta_type;684;1;1
_convert_listlike;685;2;1
_guess_datetime_format;686;1;1
_guess_datetime_format;687;1;1
_guess_datetime_format;688;1;1
to_datetime;689;1;1
to_datetime;690;2;1
to_datetime;691;1;1
to_datetime;692;1;2
to_datetime;693;2;1
_assemble_from_unit_mappings;694;1;1
_assemble_from_unit_mappings;695;1;1
_attempt_YYYYMMDD;696;1;1
_attempt_YYYYMMDD;697;2;1
_attempt_YYYYMMDD;698;2;1
_guess_time_format_for_array;699;1;1
to_time;700;0;1
to_time;701;1;1
__getitem__;702;1;1
_gotitem;703;1;1
_groupby_and_aggregate;704;1;1
_groupby_and_aggregate;705;1;1
_mpl_le_1_2_1;706;1;1
_mpl_ge_1_3_1;707;1;1
_mpl_ge_1_4_0;708;1;1
_mpl_ge_1_5_0;709;1;1
_mpl_ge_2_0_0;710;1;1
_get_standard_colors;711;1;1
_get_standard_colors;712;1;1
_compute_plot_data;713;1;1
_apply_style_colors;714;1;1
_plot;715;1;1
format_date_labels;716;1;1
_get_layout;717;1;1
_remove_labels_from_axis;718;0;1
_handle_shared_axes;719;1;1
cut;720;1;1
_bins_to_cuts;721;1;1
to_numeric;722;0;1
_groupby_and_merge;723;1;1
_groupby_and_merge;724;1;1
_groupby_and_merge;725;0;1
_get_comb_axis;726;1;1
_make_concat_multiindex;727;1;1
pivot_table;728;0;1
pivot_table;729;1;1
pivot_table;730;2;1
pivot_table;731;2;1
_add_margins;732;1;1
_compute_grand_margin;733;0;1
_generate_marginal_results;734;1;1
_normalize;735;1;1
_normalize;736;1;1
get_hits;737;1;1
merge_pr;738;0;1
merge_pr;739;0;1
cherry_pick;740;0;1
default_iget;741;2;1
flatten;742;1;1
run_all;743;0;1
run_all;744;0;1
do_update;745;0;1
do_update;746;0;1
f;747;1;1
roundtrip_archive;748;0;1
roundtrip_archive;749;0;1
roundtrip_archive;750;0;1
create_panels_append;751;1;1
create_panels_join;752;1;1
plot_perf;753;0;1
rountrip_archive;754;0;1
rountrip_archive;755;0;1
rountrip_archive;756;0;1
rountrip_archive;757;0;1
rountrip_archive;758;0;1
rountrip_archive;759;0;1
cleanup_nb;760;0;1
html;761;2;1
html;762;0;1
zip_html;763;0;1
check_build;764;0;1
auto_dev_build;765;5;1
linkcode_resolve;766;1;1
